basin,NSE,KGE,RMSE,Pearson-r,FHV,FLV
camelsbr_45840000,0.6322139563371951,0.8384965252797191,0.09739401417408589,0.8459137678146362,2.0372992,-15.757086
camelsbr_45880000,0.710399696417841,0.7741704294326139,0.07508696453938837,0.8452361822128296,-14.052307,-216.19699
camelsbr_45910001,0.7924595462203293,0.8502807367889352,0.05789639420404675,0.8942285776138306,-17.427485,-37.653297
camelsbr_45960001,0.7683082819213511,0.7360479910949553,0.07164905397630164,0.8857908248901367,-24.021286,13.3816395
camelsbr_46035000,0.908005680694065,0.9197213233465464,0.11168525533816714,0.9541791081428528,-3.4722154,47.38655
camelsbr_46105000,0.9113862280555017,0.9089213329133258,0.10831702672058484,0.9552938938140869,-7.1735687,43.19794
camelsbr_46360000,0.8814897053265583,0.9085879717875479,0.10946830533286082,0.940142035484314,-6.9136834,-3.98187
camelsbr_46455000,0.08355592867249906,0.02915468510057584,0.8551937340540741,0.3594425618648529,-66.13452,96.3439
camelsbr_46570000,0.6542788482607095,0.744360822702692,0.12797854851784515,0.8322551846504211,-16.44412,53.24836
camelsbr_46610000,0.7052077439287922,0.834607947483807,0.06958418716879516,0.9093862771987915,-3.3508532,98.49008
camelsbr_46650000,0.545342715010784,0.7751906262404512,0.08575081597188804,0.9119145274162292,-1.7426922,98.432274
camelsbr_46902000,0.6242688740332835,0.6265149921626165,0.08155723835244448,0.8690745830535889,-16.81734,3.0596757
camelsbr_51750000,0.61838526949759,0.6956223666828811,0.49887246910873584,0.7864547371864319,-22.65542,12.79629
camelsbr_51795000,0.6130154984767537,0.6710461045194458,0.5441039314686761,0.7835816740989685,-23.486914,69.40659
camelsbr_51820000,0.6474762573216055,0.6844763598175734,0.3428489514934156,0.8067383170127869,-31.872309,39.304134
camelsbr_51940000,0.6944772538457832,0.7701053751366161,0.5230144385264911,0.8340535163879395,-16.64095,64.23631
camelsbr_53050000,0.8643489150184738,0.8860045356696964,0.705667286561157,0.929929792881012,-6.7636514,2.7317648
camelsbr_53091000,0.8069028385511299,0.8360008986202508,0.9147800335411923,0.8987262845039368,-8.775301,-9.543814
camelsbr_53780000,0.6686757476590349,0.694236443928322,0.27353429443485094,0.8216156959533691,-23.032726,-918.4556
camelsbr_54110002,0.7022266916213109,0.7499062958542488,0.40676079329418086,0.838678777217865,-24.96262,-1.6681367
camelsbr_54150000,0.48221126736093656,0.5849043122717478,0.5611850149938928,0.6948277950286865,-35.357944,68.21612
camelsbr_54195000,0.5527770980307631,0.6637969276243483,0.36975817013754897,0.7444185018539429,-32.524765,-22.04943
camelsbr_54300000,0.38707829278807304,0.44188367017567154,0.6032054807895862,0.6231329441070557,-46.923813,-563.9163
camelsbr_54390000,0.5992614706402654,0.5975174423861874,0.42443833613071086,0.7840105295181274,-41.60188,-115.25707
